InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,CohortMonth,CohortIndex
547063,22150,3 STRIPEY MICE FELTCRAFT,1,2011-03-20 13:33:00,1.95,14769,United Kingdom,1.95,2011-03,2011-03,0
552246,84429A,MEDIUM PINK BUDDHA HEAD,1,2011-05-06 19:44:00,2.95,12748,United Kingdom,2.95,2011-05,2010-12,5
551953,22727,ALARM CLOCK BAKELIKE RED,4,2011-05-05 11:53:00,3.75,13448,United Kingdom,15.0,2011-05,2011-05,0
540511,22032,BOTANICAL LILY GREETING CARD,12,2011-01-09 11:34:00,0.42,14472,United Kingdom,5.04,2011-01,2011-01,0
544657,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-02-22 13:08:00,1.25,14895,United Kingdom,15.0,2011-02,2011-02,0
563504,82486,WOOD S/3 CABINET ANT WHITE FINISH,12,2011-08-17 09:16:00,8.15,16218,United Kingdom,97.8,2011-08,2010-12,8
540473,85194S,HANGING SPRING FLOWER EGG SMALL,6,2011-01-07 14:31:00,0.65,17284,United Kingdom,3.9,2011-01,2011-01,0
546643,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-03-15 13:23:00,1.25,16214,United Kingdom,15.0,2011-03,2011-03,0
562727,23108,SET OF 10 LED DOLLY LIGHTS,4,2011-08-09 09:26:00,6.25,15601,United Kingdom,25.0,2011-08,2010-12,8
546431,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,2011-03-14 08:05:00,0.55,16954,United Kingdom,13.2,2011-03,2011-03,0
555340,20972,PINK CREAM FELT CRAFT TRINKET BOX,12,2011-06-02 11:33:00,1.25,13334,United Kingdom,15.0,2011-06,2011-02,4
572673,21204,DAISIES  HONEYCOMB GARLAND,12,2011-10-25 13:16:00,1.65,13309,United Kingdom,19.8,2011-10,2011-09,1
571461,23344,JUMBO BAG 50'S CHRISTMAS,1,2011-10-17 14:12:00,2.08,16932,United Kingdom,2.08,2011-10,2011-10,0
568702,21731,RED TOADSTOOL LED NIGHT LIGHT,1,2011-09-28 15:18:00,1.65,17950,United Kingdom,1.65,2011-09,2010-12,9
577748,23240,SET OF 4 KNICK KNACK TINS DOILY,24,2011-11-21 14:24:00,4.15,15159,United Kingdom,99.6,2011-11,2010-12,11
579412,22192,BLUE DINER WALL CLOCK,2,2011-11-29 12:47:00,8.5,14125,United Kingdom,17.0,2011-11,2011-09,2
560392,22383,LUNCH BAG SUKI DESIGN,10,2011-07-18 13:30:00,1.65,13911,United Kingdom,16.5,2011-07,2011-02,5
579196,10135,COLOURING PENCILS BROWN TUBE,11,2011-11-28 15:54:00,2.46,14096,United Kingdom,27.06,2011-11,2011-09,2
580695,22575,METAL MERRY CHRISTMAS WREATH,1,2011-12-05 16:03:00,1.95,13230,United Kingdom,1.95,2011-12,2011-01,11
538367,22491,PACK OF 12 COLOURED PENCILS,12,2010-12-12 10:48:00,0.85,14800,United Kingdom,10.2,2010-12,2010-12,0
543990,22384,LUNCH BAG PINK POLKADOT,10,2011-02-15 09:59:00,1.65,15122,United Kingdom,16.5,2011-02,2011-02,0
547656,22851,SET 20 NAPKINS FAIRY CAKES DESIGN,2,2011-03-24 12:53:00,0.85,13263,United Kingdom,1.7,2011-03,2011-03,0
557626,22674,FRENCH TOILET SIGN BLUE METAL,12,2011-06-21 14:29:00,1.25,14175,United Kingdom,15.0,2011-06,2011-01,5
563614,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,72,2011-08-18 08:51:00,2.49,12415,Australia,179.28,2011-08,2011-01,7
552695,22413,METAL SIGN TAKE IT OR LEAVE IT,6,2011-05-10 15:31:00,2.95,16320,Unspecified,17.7,2011-05,2011-05,0
541711,22557,PLASTERS IN TIN VINTAGE PAISLEY,96,2011-01-21 11:18:00,1.45,14646,Netherlands,139.2,2011-01,2010-12,1
553202,22746,POPPY'S PLAYHOUSE LIVINGROOM,1,2011-05-15 16:02:00,2.1,15854,United Kingdom,2.1,2011-05,2011-01,4
574165,51014A,"FEATHER PEN,HOT PINK",24,2011-11-03 11:36:00,0.39,14815,United Kingdom,9.36,2011-11,2011-11,0
577098,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2011-11-17 16:43:00,1.45,16839,United Kingdom,34.8,2011-11,2011-01,10
551033,21987,PACK OF 6 SKULL PAPER CUPS,4,2011-04-26 11:32:00,0.65,15039,United Kingdom,2.6,2011-04,2010-12,4
542519,22630,DOLLY GIRL LUNCH BOX,12,2011-01-28 12:19:00,1.95,15159,United Kingdom,23.4,2011-01,2010-12,1
543812,22242,5 HOOK HANGER MAGIC TOADSTOOL,1,2011-02-13 14:40:00,1.65,17472,United Kingdom,1.65,2011-02,2011-02,0
572887,22174,PHOTO CUBE,12,2011-10-26 13:47:00,1.65,12362,Belgium,19.8,2011-10,2011-02,8
561077,23203,JUMBO BAG DOILEY PATTERNS,10,2011-07-24 15:53:00,2.08,17649,United Kingdom,20.8,2011-07,2011-07,0
537144,22158,3 HEARTS HANGING DECORATION RUSTIC,1,2010-12-05 13:00:00,2.95,15880,United Kingdom,2.95,2010-12,2010-12,0
572087,23156,SET OF 5 MINI GROCERY MAGNETS,12,2011-10-20 14:30:00,2.08,12683,France,24.96,2011-10,2010-12,10
547070,85049E,SCANDINAVIAN REDS RIBBONS,1,2011-03-20 13:58:00,1.25,16115,United Kingdom,1.25,2011-03,2011-02,1
554510,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,2011-05-24 15:51:00,2.95,17389,United Kingdom,17.7,2011-05,2011-03,2
565325,11001,ASSTD DESIGN RACING CAR PEN,16,2011-09-02 13:22:00,1.69,16086,United Kingdom,27.04,2011-09,2011-09,0
545522,22276,WASH BAG VINTAGE ROSE PAISLEY,6,2011-03-03 12:35:00,2.55,15596,United Kingdom,15.3,2011-03,2011-03,0
558031,22795,SWEETHEART RECIPE BOOK STAND,2,2011-06-24 12:14:00,6.75,14180,United Kingdom,13.5,2011-06,2010-12,6
557150,23047,PAPER LANTERN 5 POINT SEQUIN STAR,1,2011-06-17 11:02:00,5.75,15555,United Kingdom,5.75,2011-06,2010-12,6
565318,22629,SPACEBOY LUNCH BOX,12,2011-09-02 13:01:00,1.95,12921,United Kingdom,23.4,2011-09,2011-01,8
559460,23309,SET OF 60 I LOVE LONDON CAKE CASES,48,2011-07-08 13:00:00,0.55,13862,United Kingdom,26.4,2011-07,2011-06,1
566746,22599,CHRISTMAS MUSICAL ZINC STAR,24,2011-09-14 15:18:00,0.85,13321,United Kingdom,20.4,2011-09,2011-09,0
552652,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2011-05-10 14:09:00,1.65,14591,United Kingdom,1.65,2011-05,2011-05,0
555536,22728,ALARM CLOCK BAKELIKE PINK,4,2011-06-05 12:28:00,3.75,17675,United Kingdom,15.0,2011-06,2010-12,6
580062,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,2011-12-01 13:28:00,2.1,15862,United Kingdom,2.1,2011-12,2010-12,12
580998,21175,GIN AND TONIC DIET METAL SIGN,8,2011-12-06 17:26:00,2.55,16987,United Kingdom,20.4,2011-12,2011-06,6
562918,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-08-10 13:51:00,2.55,15615,United Kingdom,81.6,2011-08,2010-12,8
543033,21668,RED STRIPE CERAMIC DRAWER KNOB,1,2011-02-02 15:48:00,1.25,17841,United Kingdom,1.25,2011-02,2010-12,2
548408,22072,RED RETROSPOT TEA CUP AND SAUCER,4,2011-03-31 10:26:00,3.75,17438,United Kingdom,15.0,2011-03,2011-03,0
580669,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18,2011-12-05 14:25:00,2.95,15159,United Kingdom,53.1,2011-12,2010-12,12
551287,21080,SET/20 RED RETROSPOT PAPER NAPKINS,4,2011-04-27 14:17:00,0.85,17961,United Kingdom,3.4,2011-04,2010-12,4
553374,85099B,JUMBO BAG RED RETROSPOT,10,2011-05-16 14:51:00,2.08,14489,United Kingdom,20.8,2011-05,2011-05,0
554132,84674,FLYING PIG WATERING CAN,6,2011-05-23 09:43:00,2.95,12360,Austria,17.7,2011-05,2011-05,0
556104,21213,PACK OF 72 SKULL CAKE CASES,24,2011-06-08 16:34:00,0.55,13875,United Kingdom,13.2,2011-06,2011-02,4
570466,84992,72 SWEETHEART FAIRY CAKE CASES,3,2011-10-10 16:03:00,0.55,16791,United Kingdom,1.65,2011-10,2011-01,9
575976,22940,FELTCRAFT CHRISTMAS FAIRY,3,2011-11-13 13:26:00,4.25,15271,United Kingdom,12.75,2011-11,2010-12,11
562371,22624,IVORY KITCHEN SCALES,2,2011-08-04 14:30:00,8.5,13709,United Kingdom,17.0,2011-08,2011-01,7
555594,23066,SMALL DECO JEWELLERY STAND,2,2011-06-06 10:09:00,8.25,13880,United Kingdom,16.5,2011-06,2011-03,3
569228,22325,MOBILE VINTAGE HEARTS,1,2011-10-02 14:47:00,4.95,15547,United Kingdom,4.95,2011-10,2010-12,10
575935,22155,STAR DECORATION RUSTIC,48,2011-11-13 11:20:00,0.42,17838,United Kingdom,20.16,2011-11,2011-02,9
578013,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,4,2011-11-22 12:55:00,1.45,17360,United Kingdom,5.8,2011-11,2011-06,5
565150,21903,MAN FLU METAL SIGN,12,2011-09-01 14:26:00,1.85,14298,United Kingdom,22.2,2011-09,2010-12,9
568531,22027,TEA PARTY BIRTHDAY CARD,12,2011-09-27 13:49:00,0.42,16713,United Kingdom,5.04,2011-09,2010-12,9
541206,21124,SET/10 BLUE POLKADOT PARTY CANDLES,288,2011-01-14 12:24:00,1.06,14646,Netherlands,305.28,2011-01,2010-12,1
559922,22677,FRENCH BLUE METAL DOOR SIGN 2,10,2011-07-13 15:50:00,1.25,14400,United Kingdom,12.5,2011-07,2011-07,0
565126,22424,ENAMEL BREAD BIN CREAM,2,2011-09-01 12:17:00,12.75,17653,United Kingdom,25.5,2011-09,2011-09,0
561795,22303,COFFEE MUG APPLES DESIGN,6,2011-07-29 13:28:00,2.55,12716,France,15.3,2011-07,2011-07,0
556731,22355,CHARLOTTE BAG SUKI DESIGN,2,2011-06-14 11:41:00,0.85,18283,United Kingdom,1.7,2011-06,2011-01,5
536836,47570B,TEA TIME TABLE CLOTH,1,2010-12-02 18:08:00,10.65,18168,United Kingdom,10.65,2010-12,2010-12,0
577595,22192,BLUE DINER WALL CLOCK,1,2011-11-20 16:12:00,8.5,16399,United Kingdom,8.5,2011-11,2011-11,0
549953,22662,LUNCH BAG DOLLY GIRL DESIGN,20,2011-04-13 13:15:00,1.65,12766,Portugal,33.0,2011-04,2010-12,4
581405,23188,VINTAGE  2 METRE FOLDING RULER,1,2011-12-08 13:50:00,1.65,13521,United Kingdom,1.65,2011-12,2011-11,1
566075,23396,LA JARDIN BOTANIQUE CUSHION COVER,4,2011-09-09 09:03:00,3.75,16173,United Kingdom,15.0,2011-09,2011-09,0
563351,23166,MEDIUM CERAMIC TOP STORAGE JAR,8,2011-08-15 14:17:00,1.25,16902,United Kingdom,10.0,2011-08,2011-08,0
539491,22960,JAM MAKING SET WITH JARS,1,2010-12-20 10:09:00,4.25,14646,Netherlands,4.25,2010-12,2010-12,0
571717,22417,PACK OF 60 SPACEBOY CAKE CASES,1,2011-10-18 17:10:00,0.55,14381,United Kingdom,0.55,2011-10,2011-10,0
545545,20996,JAZZ HEARTS ADDRESS BOOK,2,2011-03-03 15:02:00,0.42,17841,United Kingdom,0.84,2011-03,2010-12,3
571937,84596G,SMALL CHOCOLATES PINK BOWL,16,2011-10-20 09:28:00,0.42,14911,EIRE,6.72,2011-10,2010-12,10
540552,82494L,WOODEN FRAME ANTIQUE WHITE,6,2011-01-10 09:44:00,2.95,16350,United Kingdom,17.7,2011-01,2011-01,0
563937,20978,36 PENCILS TUBE SKULLS,16,2011-08-22 09:10:00,1.25,18204,United Kingdom,20.0,2011-08,2011-05,3
559151,84378,SET OF 3 HEART COOKIE CUTTERS,6,2011-07-06 15:02:00,1.25,17389,United Kingdom,7.5,2011-07,2011-03,4
576252,21191,LARGE WHITE HONEYCOMB PAPER BELL,12,2011-11-14 13:55:00,2.1,14418,United Kingdom,25.2,2011-11,2011-08,3
564953,48187,DOORMAT NEW ENGLAND,10,2011-08-31 13:37:00,6.75,17588,United Kingdom,67.5,2011-08,2011-04,4
571475,22112,CHOCOLATE HOT WATER BOTTLE,1,2011-10-17 14:42:00,4.95,15033,United Kingdom,4.95,2011-10,2011-01,9
569842,23535,WALL ART BICYCLE SAFETY,4,2011-10-06 13:28:00,5.95,13426,United Kingdom,23.8,2011-10,2011-01,9
570197,46776F,WOVEN ROSE GARDEN CUSHION COVER,1,2011-10-07 15:45:00,4.95,13755,United Kingdom,4.95,2011-10,2011-10,0
549118,21471,STRAWBERRY RAFFIA FOOD COVER,6,2011-04-06 13:18:00,3.75,14911,EIRE,22.5,2011-04,2010-12,4
557620,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-06-21 13:58:00,0.95,14408,United Kingdom,0.95,2011-06,2011-06,0
555092,22150,3 STRIPEY MICE FELTCRAFT,3,2011-05-31 13:08:00,1.95,16483,United Kingdom,5.85,2011-05,2011-05,0
543975,90014A,SILVER/MOP ORBIT NECKLACE,2,2011-02-14 15:23:00,9.95,17231,United Kingdom,19.9,2011-02,2010-12,2
562893,23360,SET 8 CANDLES VINTAGE DOILY,12,2011-08-10 12:25:00,1.95,17442,United Kingdom,23.4,2011-08,2011-06,2
564716,23203,JUMBO BAG VINTAGE DOILY,10,2011-08-28 11:02:00,2.08,14810,United Kingdom,20.8,2011-08,2010-12,8
539477,22808,SET OF 6 T-LIGHTS EASTER CHICKS,6,2010-12-19 14:58:00,2.95,18245,United Kingdom,17.7,2010-12,2010-12,0
578757,22109,FULL ENGLISH BREAKFAST PLATE,1,2011-11-25 11:41:00,3.75,12748,United Kingdom,3.75,2011-11,2010-12,11
552062,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,24,2011-05-06 10:45:00,0.18,13117,United Kingdom,4.32,2011-05,2010-12,5
576213,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,1,2011-11-14 12:47:00,0.85,18117,United Kingdom,0.85,2011-11,2011-11,0
580865,22557,PLASTERS IN TIN VINTAGE PAISLEY,1,2011-12-06 11:58:00,1.65,17914,United Kingdom,1.65,2011-12,2011-12,0
564742,22976,CIRCUS PARADE CHILDRENS EGG CUP,3,2011-08-28 15:01:00,1.25,17346,United Kingdom,3.75,2011-08,2010-12,8
559507,47504K,ENGLISH ROSE GARDEN SECATEURS,1,2011-07-08 15:22:00,0.79,15920,United Kingdom,0.79,2011-07,2011-07,0
537464,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-07 10:14:00,3.95,14907,United Kingdom,31.6,2010-12,2010-12,0
548188,22919,HERB MARKER MINT,2,2011-03-29 15:12:00,0.65,13263,United Kingdom,1.3,2011-03,2011-03,0
575837,23302,KNEELING MAT HOUSEWORK  DESIGN,1,2011-11-11 11:37:00,1.65,12748,United Kingdom,1.65,2011-11,2010-12,11
572302,22992,REVOLVER WOODEN RULER,1,2011-10-23 14:47:00,1.95,15427,United Kingdom,1.95,2011-10,2011-10,0
550276,22041,"RECORD FRAME 7"" SINGLE SIZE""",24,2011-04-15 12:48:00,2.55,12989,United Kingdom,61.2,2011-04,2011-04,0
545222,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-03-01 08:49:00,1.25,13880,United Kingdom,15.0,2011-03,2011-03,0
578522,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,2,2011-11-24 14:09:00,1.45,17254,United Kingdom,2.9,2011-11,2011-11,0
538051,22603,CHRISTMAS RETROSPOT TREE WOOD,6,2010-12-09 13:24:00,0.85,18041,United Kingdom,5.1,2010-12,2010-12,0
536415,22565,FELTCRAFT HAIRBANDS PINK AND WHITE,3,2010-12-01 11:57:00,0.85,12838,United Kingdom,2.55,2010-12,2010-12,0
580258,21169,YOU'RE CONFUSING ME METAL SIGN,48,2011-12-02 12:28:00,1.45,13798,United Kingdom,69.6,2011-12,2010-12,12
572242,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-10-21 15:36:00,1.25,15677,United Kingdom,15.0,2011-10,2011-10,0
569790,23296,SET OF 6 TEA TIME BAKING CASES,4,2011-10-06 11:42:00,1.25,15910,United Kingdom,5.0,2011-10,2011-01,9
576592,21169,YOU'RE CONFUSING ME METAL SIGN,4,2011-11-15 14:47:00,1.69,13614,United Kingdom,6.76,2011-11,2011-01,10
558888,22844,VINTAGE CREAM DOG FOOD CONTAINER,3,2011-07-04 15:29:00,8.5,14056,United Kingdom,25.5,2011-07,2011-02,5
579634,23576,SNACK TRAY RED VINTAGE DOILY,8,2011-11-30 12:18:00,1.95,12598,France,15.6,2011-11,2011-02,9
581395,22442,GROW YOUR OWN FLOWERS SET OF 3,3,2011-12-08 13:18:00,1.95,16892,United Kingdom,5.85,2011-12,2011-06,6
542590,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-01-28 16:18:00,1.45,17920,United Kingdom,17.4,2011-01,2011-01,0
578921,22956,36 FOIL HEART CAKE CASES,1,2011-11-27 11:57:00,2.1,13596,United Kingdom,2.1,2011-11,2011-11,0
551290,47566,PARTY BUNTING,50,2011-04-27 14:25:00,4.15,13854,United Kingdom,207.5,2011-04,2011-01,3
542354,22690,DOORMAT HOME SWEET HOME BLUE,2,2011-01-27 12:19:00,7.95,14709,United Kingdom,15.9,2011-01,2011-01,0
581486,23352,ROLL WRAP 50'S RED CHRISTMAS,12,2011-12-09 09:38:00,1.25,17001,United Kingdom,15.0,2011-12,2011-03,9
569846,23307,SET OF 60 PANTRY DESIGN CAKE CASES,24,2011-10-06 13:42:00,0.55,13422,United Kingdom,13.2,2011-10,2011-10,0
577438,22273,FELTCRAFT DOLL MOLLY,1,2011-11-20 11:09:00,2.95,18118,United Kingdom,2.95,2011-11,2010-12,11
567182,23308,SET OF 60 VINTAGE LEAF CAKE CASES,24,2011-09-18 15:21:00,0.55,13334,United Kingdom,13.2,2011-09,2011-02,7
562711,21907,I'M ON HOLIDAY METAL SIGN,1,2011-08-08 14:53:00,2.1,16788,United Kingdom,2.1,2011-08,2011-03,5
563741,23359,SET OF 12 T-LIGHTS VINTAGE DOILY,12,2011-08-19 08:57:00,1.95,14759,United Kingdom,23.4,2011-08,2011-04,4
576066,79321,CHILLI LIGHTS,1,2011-11-13 15:44:00,5.75,16898,United Kingdom,5.75,2011-11,2011-06,5
556248,22919,HERB MARKER MINT,12,2011-06-09 16:33:00,0.65,15681,United Kingdom,7.8,2011-06,2011-03,3
538634,22732,3D VINTAGE CHRISTMAS STICKERS,8,2010-12-13 13:28:00,1.25,14085,United Kingdom,10.0,2010-12,2010-12,0
566079,20679,EDWARDIAN PARASOL RED,6,2011-09-09 09:52:00,5.95,17593,United Kingdom,35.7,2011-09,2010-12,9
570482,23266,SET OF 3 WOODEN STOCKING DECORATION,5,2011-10-10 17:00:00,1.25,17459,United Kingdom,6.25,2011-10,2011-10,0
555979,21907,I'M ON HOLIDAY METAL SIGN,5,2011-06-08 11:18:00,2.1,15039,United Kingdom,10.5,2011-06,2010-12,6
540248,22457,NATURAL SLATE HEART CHALKBOARD,6,2011-01-05 15:57:00,2.95,15034,United Kingdom,17.7,2011-01,2010-12,1
549563,82011C,BATHROOM SCALES FOOTPRINTS IN SAND,1,2011-04-10 14:02:00,3.75,14030,United Kingdom,3.75,2011-04,2011-04,0
549247,21326,AGED GLASS SILVER T-LIGHT HOLDER,72,2011-04-07 12:04:00,0.65,13752,United Kingdom,46.8,2011-04,2011-04,0
579885,22279,POCKET BAG BLUE PAISLEY RED SPOT,3,2011-11-30 17:37:00,1.25,15444,United Kingdom,3.75,2011-11,2011-10,1
550495,82600,NO SINGING METAL SIGN,6,2011-04-18 15:00:00,2.1,13769,United Kingdom,12.6,2011-04,2010-12,4
544597,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2011-02-21 17:42:00,2.95,16014,United Kingdom,5.9,2011-02,2011-02,0
575258,23058,CHRISTMAS HANGING SNOWFLAKE,6,2011-11-09 12:00:00,0.79,13623,United Kingdom,4.74,2011-11,2011-03,8
575895,21154,RED RETROSPOT OVEN GLOVE,2,2011-11-11 14:50:00,1.25,17052,United Kingdom,2.5,2011-11,2011-11,0
575678,23569,TRADTIONAL ALPHABET STAMP SET,4,2011-11-10 15:23:00,4.95,16169,United Kingdom,19.8,2011-11,2011-09,2
563935,23110,PARISIENNE KEY CABINET,2,2011-08-21 16:24:00,5.75,15547,United Kingdom,11.5,2011-08,2010-12,8
572129,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2011-10-21 09:25:00,1.65,17528,United Kingdom,19.8,2011-10,2011-09,1
566024,23203,JUMBO BAG VINTAGE DOILY,10,2011-09-08 12:51:00,2.08,13871,United Kingdom,20.8,2011-09,2011-03,6
573144,22818,CARD CHRISTMAS VILLAGE,12,2011-10-27 17:57:00,0.42,18035,United Kingdom,5.04,2011-10,2011-10,0
577472,23350,ROLL WRAP VINTAGE SPOT,12,2011-11-20 11:28:00,1.25,14503,United Kingdom,15.0,2011-11,2011-06,5
552464,21829,DINOSAUR KEYRINGS ASSORTED,72,2011-05-09 15:12:00,0.21,12726,France,15.12,2011-05,2010-12,5
548920,23232,WRAP VINTAGE PETALS  DESIGN,25,2011-04-05 10:19:00,0.42,13018,United Kingdom,10.5,2011-04,2011-02,2
572331,23352,ROLL WRAP 50'S RED CHRISTMAS,12,2011-10-24 10:18:00,1.25,16491,United Kingdom,15.0,2011-10,2011-10,0
576090,82581,TOILET METAL SIGN,96,2011-11-14 08:56:00,0.74,17450,United Kingdom,71.04,2011-11,2011-01,10
576696,23080,RED METAL BOX TOP SECRET,1,2011-11-16 12:26:00,8.25,16669,United Kingdom,8.25,2011-11,2011-11,0
555851,23163,REGENCY SUGAR TONGS,1,2011-06-07 13:37:00,2.49,13050,United Kingdom,2.49,2011-06,2010-12,6
549247,20802,SMALL GLASS SUNDAE DISH CLEAR,6,2011-04-07 12:04:00,1.65,13752,United Kingdom,9.9,2011-04,2011-04,0
579870,23283,DOORMAT VINTAGE LEAF,2,2011-11-30 16:47:00,8.25,12437,France,16.5,2011-11,2011-05,6
547327,22990,COTTON APRON PANTRY DESIGN,2,2011-03-22 11:28:00,4.95,12681,France,9.9,2011-03,2010-12,3
574587,22956,36 FOIL HEART CAKE CASES,6,2011-11-06 10:29:00,2.1,14936,Channel Islands,12.6,2011-11,2011-03,8
573381,71038,WHITE HANGING BEADS CANDLE HOLDER,1,2011-10-30 14:05:00,5.45,17590,United Kingdom,5.45,2011-10,2011-10,0
546899,22663,JUMBO BAG DOLLY GIRL DESIGN,30,2011-03-17 18:27:00,1.65,14298,United Kingdom,49.5,2011-03,2010-12,3
559471,22685,FRENCH BLUE METAL DOOR SIGN 0,10,2011-07-08 13:39:00,1.25,17512,United Kingdom,12.5,2011-07,2011-03,4
538660,22451,SILK PURSE BABUSHKA RED,12,2010-12-13 15:37:00,3.35,15808,United Kingdom,40.2,2010-12,2010-12,0
554278,22548,HEADS AND TAILS SPORTING FUN,3,2011-05-23 13:25:00,1.25,13831,United Kingdom,3.75,2011-05,2011-05,0
572209,23554,LANDMARK FRAME OXFORD STREET,300,2011-10-21 12:08:00,10.95,18102,United Kingdom,3285.0,2011-10,2010-12,10
562569,22384,LUNCH BAG PINK POLKADOT,3,2011-08-07 12:05:00,1.65,17323,United Kingdom,4.95,2011-08,2011-05,3
575201,22896,PEG BAG APPLES DESIGN,50,2011-11-09 09:52:00,2.1,13629,United Kingdom,105.0,2011-11,2011-07,4
550957,21175,GIN + TONIC DIET METAL SIGN,1,2011-04-21 16:37:00,2.55,18283,United Kingdom,2.55,2011-04,2011-01,3
570672,21039,RED RETROSPOT SHOPPING BAG,6,2011-10-11 14:52:00,2.55,12536,France,15.3,2011-10,2011-10,0
547667,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,2011-03-24 13:25:00,2.95,16700,United Kingdom,17.7,2011-03,2010-12,3
560989,22049,WRAP CHRISTMAS SCREEN PRINT,25,2011-07-22 13:20:00,0.42,15704,United Kingdom,10.5,2011-07,2011-05,2
559679,22620,4 TRADITIONAL SPINNING TOPS,12,2011-07-11 14:46:00,1.45,15265,United Kingdom,17.4,2011-07,2011-04,3
580955,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-12-06 14:22:00,1.45,12442,Spain,17.4,2011-12,2011-12,0
580305,21742,LARGE ROUND WICKER PLATTER,1,2011-12-02 14:26:00,5.95,12970,United Kingdom,5.95,2011-12,2011-12,0
556579,22077,6 RIBBONS RUSTIC CHARM,12,2011-06-13 14:16:00,1.65,15069,United Kingdom,19.8,2011-06,2011-06,0
542221,48187,DOORMAT NEW ENGLAND,2,2011-01-26 12:40:00,7.95,14978,United Kingdom,15.9,2011-01,2011-01,0
546127,21535,RED RETROSPOT SMALL MILK JUG,12,2011-03-09 14:57:00,2.55,17730,United Kingdom,30.6,2011-03,2011-03,0
573888,82583,HOT BATHS METAL SIGN,36,2011-11-01 13:43:00,2.1,17696,United Kingdom,75.6,2011-11,2011-07,4
549298,22652,TRAVEL SEWING KIT,10,2011-04-08 08:20:00,1.65,13015,United Kingdom,16.5,2011-04,2011-04,0
565451,22383,LUNCH BAG SUKI DESIGN,10,2011-09-04 15:37:00,1.65,15365,United Kingdom,16.5,2011-09,2011-09,0
569555,20727,LUNCH BAG  BLACK SKULL.,10,2011-10-05 08:17:00,1.65,17728,United Kingdom,16.5,2011-10,2011-09,1
573584,22189,CREAM HEART CARD HOLDER,36,2011-10-31 14:36:00,3.39,16705,United Kingdom,122.04,2011-10,2010-12,10
550317,22607,WOODEN ROUNDERS GARDEN SET,2,2011-04-17 11:56:00,9.95,15172,United Kingdom,19.9,2011-04,2011-04,0
568103,23256,CHILDRENS CUTLERY SPACEBOY,4,2011-09-23 15:45:00,4.15,12518,Germany,16.6,2011-09,2011-08,1
552769,22212,FOUR HOOK  WHITE LOVEBIRDS,2,2011-05-11 11:47:00,2.1,16241,United Kingdom,4.2,2011-05,2011-01,4
545398,22726,ALARM CLOCK BAKELIKE GREEN,8,2011-03-02 11:43:00,3.75,13722,United Kingdom,30.0,2011-03,2011-03,0
564191,21991,BOHEMIAN COLLAGE STATIONERY SET,1,2011-08-23 16:16:00,1.25,17315,United Kingdom,1.25,2011-08,2010-12,8
547071,22980,PANTRY SCRUBBING BRUSH,12,2011-03-20 13:59:00,1.65,12693,Germany,19.8,2011-03,2011-03,0
578931,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,2011-11-27 12:40:00,0.85,16942,United Kingdom,0.85,2011-11,2011-04,7
568697,20682,RED RETROSPOT CHILDRENS UMBRELLA,12,2011-09-28 14:57:00,3.25,16281,United Kingdom,39.0,2011-09,2011-09,0
570410,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,2,2011-10-10 13:04:00,0.39,16776,United Kingdom,0.78,2011-10,2011-10,0
552852,22138,BAKING SET 9 PIECE RETROSPOT,2,2011-05-11 15:08:00,4.95,16712,United Kingdom,9.9,2011-05,2011-03,2
561894,20974,12 PENCILS SMALL TUBE SKULL,1,2011-07-31 15:00:00,0.65,14456,United Kingdom,0.65,2011-07,2011-07,0
577258,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-11-18 12:27:00,4.95,16764,United Kingdom,4.95,2011-11,2011-07,4
556954,21314,SMALL GLASS HEART TRINKET POT,8,2011-06-16 08:38:00,2.1,15585,United Kingdom,16.8,2011-06,2011-06,0
