Rank,CustomerID,Country,Revenue,Orders,AOV
636,13949,United Kingdom,105.0,4,26.25
637,17214,United Kingdom,104.8,4,26.2
638,14533,United Kingdom,104.0,1,104.0
639,14963,United Kingdom,103.88,5,20.78
640,14240,United Kingdom,103.68,1,103.68
641,14210,United Kingdom,103.56,5,20.71
642,13435,United Kingdom,103.53,2,51.76
643,16837,United Kingdom,103.45,5,20.69
644,16767,United Kingdom,103.4,5,20.68
645,17410,United Kingdom,103.2,4,25.8
646,14334,United Kingdom,102.9,5,20.58
647,15493,United Kingdom,102.84,4,25.71
648,14628,United Kingdom,102.6,2,51.3
649,12517,Germany,102.53,4,25.63
650,12464,Belgium,102.3,2,51.15
651,15867,United Kingdom,102.28,10,10.23
652,12429,Denmark,102.18,2,51.09
653,13136,United Kingdom,102.1,2,51.05
654,15727,United Kingdom,102.07000000000001,5,20.41
655,15505,United Kingdom,102.06,3,34.02
656,17787,United Kingdom,102.05,4,25.51
657,13976,United Kingdom,102.02,1,102.02
658,13416,United Kingdom,102.0,2,51.0
659,16146,United Kingdom,102.0,1,102.0
660,15075,United Kingdom,102.0,1,102.0
661,14015,United Kingdom,102.0,1,102.0
662,16276,United Kingdom,102.0,1,102.0
663,12873,United Kingdom,102.0,1,102.0
664,15480,Malta,101.92999999999999,1,101.93
665,17672,United Kingdom,101.89999999999999,2,50.95
666,14211,United Kingdom,101.44,4,25.36
667,16682,United Kingdom,101.4,1,101.4
668,13126,United Kingdom,101.08,3,33.69
669,17449,United Kingdom,101.07,5,20.21
670,16389,United Kingdom,100.80000000000001,1,100.8
671,15152,United Kingdom,100.19999999999999,6,16.7
672,17272,United Kingdom,99.6,1,99.6
673,13703,United Kingdom,99.5,1,99.5
674,17314,United Kingdom,99.5,3,33.17
675,12662,Germany,99.4,5,19.88
676,13735,United Kingdom,99.32,3,33.11
677,16440,United Kingdom,99.22,3,33.07
678,16283,United Kingdom,99.11,4,24.78
679,14572,United Kingdom,98.94999999999999,3,32.98
680,14146,United Kingdom,98.53999999999999,5,19.71
681,16464,United Kingdom,98.42,3,32.81
682,14676,United Kingdom,98.16,3,32.72
683,13730,United Kingdom,98.05,2,49.02
684,17311,United Kingdom,97.96000000000001,1,97.96
685,15149,United Kingdom,97.95,1,97.95
686,15244,United Kingdom,97.8,2,48.9
687,14291,United Kingdom,97.8,4,24.45
688,16326,United Kingdom,97.79,5,19.56
689,16633,United Kingdom,97.75,2,48.88
690,12758,Portugal,97.5,2,48.75
691,14016,EIRE,97.35,1,97.35
692,15502,United Kingdom,97.28,4,24.32
693,16494,United Kingdom,97.24,1,97.24
694,16128,United Kingdom,97.2,3,32.4
695,13538,United Kingdom,97.2,2,48.6
696,12501,Germany,97.14999999999999,1,97.15
697,13376,United Kingdom,97.05000000000001,2,48.53
698,18179,United Kingdom,97.0,2,48.5
699,12615,France,96.76,3,32.25
700,12843,United Kingdom,96.75,2,48.38
701,14226,United Kingdom,96.60000000000001,1,96.6
702,12516,Germany,96.5,2,48.25
703,14035,United Kingdom,96.34,3,32.11
704,17346,United Kingdom,96.33,12,8.03
705,12733,USA,96.3,1,96.3
706,13911,United Kingdom,96.18,6,16.03
707,16348,United Kingdom,96.14,4,24.04
708,14659,United Kingdom,96.1,5,19.22
709,13692,United Kingdom,95.88,2,47.94
710,14243,United Kingdom,95.55,3,31.85
711,18024,United Kingdom,95.4,1,95.4
712,15570,United Kingdom,95.4,4,23.85
713,16057,United Kingdom,95.4,3,31.8
714,18219,United Kingdom,95.22,4,23.8
715,18145,United Kingdom,95.06,4,23.76
716,17160,United Kingdom,95.03999999999999,5,19.01
717,13507,United Kingdom,94.75,3,31.58
718,12594,Italy,94.7,2,47.35
719,16393,United Kingdom,94.4,6,15.73
720,17728,United Kingdom,94.38,2,47.19
721,13614,United Kingdom,94.36,3,31.45
722,12434,Australia,94.29,2,47.14
723,12455,Cyprus,94.1,1,94.1
724,15203,United Kingdom,94.06,4,23.52
725,13878,United Kingdom,93.9,1,93.9
726,14397,United Kingdom,93.6,1,93.6
727,13856,United Kingdom,93.6,1,93.6
728,14336,United Kingdom,93.06,2,46.53
729,15530,United Kingdom,93.05,3,31.02
730,12647,Germany,92.94,3,30.98
731,14175,United Kingdom,92.88,3,30.96
732,16253,United Kingdom,92.76,2,46.38
733,14856,United Kingdom,92.75,2,46.38
734,14930,Channel Islands,92.1,1,92.1
735,13652,United Kingdom,91.98,3,30.66
736,12951,United Kingdom,91.84,3,30.61
737,15380,United Kingdom,91.8,1,91.8
738,17231,United Kingdom,91.63,10,9.16
739,12885,United Kingdom,91.4,2,45.7
740,17673,United Kingdom,91.31,6,15.22
741,17611,United Kingdom,91.03,9,10.11
742,17734,United Kingdom,90.1,2,45.05
743,13213,United Kingdom,90.02,4,22.5
744,15482,United Kingdom,90.0,1,90.0
745,14885,United Kingdom,90.0,1,90.0
746,15341,United Kingdom,90.0,1,90.0
747,13310,United Kingdom,89.92,3,29.97
748,12488,France,89.6,3,29.87
749,13373,United Kingdom,89.55,2,44.78
750,12856,United Kingdom,89.41,5,17.88
751,16670,United Kingdom,89.4,4,22.35
752,16115,United Kingdom,89.39,6,14.9
753,15677,United Kingdom,89.36,1,89.36
754,12363,Unspecified,89.16,1,89.16
755,12640,France,89.0,2,44.5
756,15407,United Kingdom,89.0,3,29.67
757,16570,United Kingdom,88.98,3,29.66
758,13555,United Kingdom,88.88,2,44.44
759,14759,United Kingdom,88.8,2,44.4
760,15114,United Kingdom,88.8,5,17.76
761,14383,United Kingdom,88.72,2,44.36
762,13571,United Kingdom,88.65,7,12.66
763,18283,United Kingdom,88.64,12,7.39
764,12462,Spain,88.64,2,44.32
765,12432,Norway,88.6,3,29.53
766,14426,United Kingdom,88.58,5,17.72
767,13634,United Kingdom,88.50999999999999,3,29.5
768,13186,United Kingdom,88.5,2,44.25
769,13240,United Kingdom,88.35,3,29.45
770,13162,United Kingdom,88.31,3,29.44
771,14309,United Kingdom,88.25999999999999,5,17.65
772,12679,France,88.25,1,88.25
773,15834,United Kingdom,88.2,3,29.4
774,12724,France,88.1,3,29.37
775,12576,Poland,87.95,4,21.99
776,16531,United Kingdom,87.9,3,29.3
777,17813,United Kingdom,87.71,4,21.93
778,16466,United Kingdom,87.61999999999999,6,14.6
779,17486,United Kingdom,87.6,1,87.6
780,15093,United Kingdom,87.54,2,43.77
781,16628,United Kingdom,87.4,2,43.7
782,15628,United Kingdom,87.3,3,29.1
783,12424,Australia,87.3,1,87.3
784,16260,United Kingdom,86.9,1,86.9
785,18168,United Kingdom,86.7,5,17.34
786,13305,United Kingdom,86.69999999999999,2,43.35
787,12528,Germany,86.6,3,28.87
788,16477,United Kingdom,86.55,4,21.64
789,16719,United Kingdom,86.45,6,14.41
790,12599,France,86.16,4,21.54
791,15416,United Kingdom,85.64999999999999,3,28.55
792,17406,United Kingdom,85.64999999999999,2,42.82
793,18069,United Kingdom,85.42,5,17.08
794,15464,United Kingdom,85.31,1,85.31
795,15681,United Kingdom,85.2,4,21.3
796,12408,Belgium,85.08,2,42.54
797,14400,United Kingdom,85.0,1,85.0
798,15172,United Kingdom,84.82,5,16.96
799,17731,United Kingdom,84.8,3,28.27
800,16401,United Kingdom,84.7,6,14.12
801,16984,United Kingdom,84.66,2,42.33
802,18136,United Kingdom,84.4,2,42.2
803,17858,United Kingdom,84.3,5,16.86
804,12455,Spain,84.3,3,28.1
805,17769,United Kingdom,84.24000000000001,6,14.04
806,17634,United Kingdom,84.06,7,12.01
807,12507,Spain,84.0,1,84.0
808,14739,United Kingdom,83.88,3,27.96
809,17827,United Kingdom,83.75,3,27.92
810,14167,United Kingdom,83.7,4,20.92
811,12668,Germany,83.7,3,27.9
812,17191,United Kingdom,83.52,5,16.7
813,15444,United Kingdom,83.41,2,41.7
814,16341,United Kingdom,83.2,1,83.2
815,17552,United Kingdom,82.92,2,41.46
816,17400,United Kingdom,82.79,3,27.6
817,12421,Spain,82.6,3,27.53
818,16614,United Kingdom,82.5,1,82.5
819,13933,United Kingdom,82.5,1,82.5
820,16320,Unspecified,82.5,1,82.5
821,14514,United Kingdom,82.45,2,41.22
822,14078,United Kingdom,82.4,3,27.47
823,13771,United Kingdom,82.28,2,41.14
824,17387,United Kingdom,82.12,2,41.06
825,16103,United Kingdom,82.1,1,82.1
826,13577,United Kingdom,82.1,4,20.52
827,15981,United Kingdom,81.8,2,40.9
828,16671,United Kingdom,81.75,1,81.75
829,13232,United Kingdom,81.72999999999999,4,20.43
830,14730,United Kingdom,81.65,5,16.33
831,14912,Italy,81.6,1,81.6
832,16380,United Kingdom,81.6,1,81.6
833,12999,United Kingdom,81.54,2,40.77
834,17205,United Kingdom,81.47999999999999,1,81.48
835,12840,United Kingdom,81.4,3,27.13
836,16038,United Kingdom,81.35,2,40.67
837,15521,United Kingdom,81.25,6,13.54
838,15648,United Kingdom,81.15,2,40.58
839,14522,United Kingdom,81.12,1,81.12
840,15379,United Kingdom,81.06,5,16.21
841,18094,United Kingdom,81.0,2,40.5
842,15312,United Kingdom,81.0,2,40.5
843,17453,United Kingdom,81.0,2,40.5
844,12782,Portugal,81.0,3,27.0
845,13610,United Kingdom,80.95,7,11.56
846,13655,United Kingdom,80.85,2,40.42
847,13492,Switzerland,80.7,2,40.35
848,13986,United Kingdom,80.64,1,80.64
849,16618,United Kingdom,80.47999999999999,2,40.24
850,12757,Portugal,80.24,4,20.06
851,18237,United Kingdom,80.14,3,26.71
852,13802,United Kingdom,80.1,2,40.05
853,18097,United Kingdom,80.1,3,26.7
854,15235,United Kingdom,80.09,2,40.04
855,16210,United Kingdom,80.08,4,20.02
856,17966,United Kingdom,80.05,3,26.68
857,15122,United Kingdom,80.03999999999999,2,40.02
858,14535,United Kingdom,79.93,3,26.64
859,14643,United Kingdom,79.9,2,39.95
860,13647,United Kingdom,79.6,2,39.8
861,16255,United Kingdom,79.42,5,15.88
862,17288,United Kingdom,79.28999999999999,2,39.64
863,17554,United Kingdom,79.25,2,39.62
864,16966,United Kingdom,79.2,1,79.2
865,17666,United Kingdom,79.2,1,79.2
866,16905,United Kingdom,79.17,5,15.83
867,17965,United Kingdom,79.09,10,7.91
868,17954,United Kingdom,79.03,9,8.78
869,15544,United Kingdom,79.02,5,15.8
870,16992,United Kingdom,79.0,4,19.75
871,15803,United Kingdom,78.96,1,78.96
872,17043,United Kingdom,78.95,2,39.48
873,15214,United Kingdom,78.92,4,19.73
874,15494,United Kingdom,78.79,1,78.79
875,13174,United Kingdom,78.66,3,26.22
876,13761,United Kingdom,78.6,2,39.3
877,17444,Canada,78.44999999999999,2,39.22
878,15415,United Kingdom,78.27,1,78.27
879,12952,United Kingdom,77.85,3,25.95
880,16081,United Kingdom,77.8,3,25.93
881,12378,Switzerland,77.6,1,77.6
882,13021,United Kingdom,77.5,3,25.83
883,12560,Germany,77.5,2,38.75
884,16169,United Kingdom,77.5,3,25.83
885,12479,Germany,77.4,1,77.4
886,13588,United Kingdom,77.25999999999999,4,19.31
887,14547,United Kingdom,77.22999999999999,4,19.31
888,13752,United Kingdom,77.1,1,77.1
889,12948,United Kingdom,77.03999999999999,3,25.68
890,14810,United Kingdom,76.99,5,15.4
891,17656,United Kingdom,76.75999999999999,1,76.76
892,16813,United Kingdom,76.71,9,8.52
893,13094,United Kingdom,76.32,1,76.32
894,18204,United Kingdom,76.3,3,25.43
895,15128,United Kingdom,76.15,3,25.38
896,15281,United Kingdom,76.15,3,25.38
897,16951,United Kingdom,76.02,3,25.34
898,15757,United Kingdom,75.97,2,37.98
899,16987,United Kingdom,75.95,3,25.32
900,15065,United Kingdom,75.9,1,75.9
901,14931,Channel Islands,75.9,3,25.3
902,14653,United Kingdom,75.86,3,25.29
903,17838,United Kingdom,75.84,2,37.92
904,12413,France,75.8,3,25.27
905,17744,United Kingdom,75.68,3,25.23
906,12963,United Kingdom,75.61,3,25.2
907,12571,France,75.6,2,37.8
908,16681,United Kingdom,75.6,1,75.6
909,16235,United Kingdom,75.45,2,37.72
910,17667,United Kingdom,75.32000000000001,2,37.66
911,18230,United Kingdom,75.3,4,18.82
912,17164,United Kingdom,75.24000000000001,3,25.08
913,18241,United Kingdom,75.19999999999999,4,18.8
914,12609,Germany,75.15,2,37.58
915,13869,United Kingdom,75.06,3,25.02
916,15529,United Kingdom,75.03,8,9.38
917,15067,United Kingdom,74.94,2,37.47
918,13208,United Kingdom,74.9,3,24.97
919,18030,United Kingdom,74.85,1,74.85
920,18130,United Kingdom,74.82,2,37.41
921,14217,United Kingdom,74.8,4,18.7
922,16370,United Kingdom,74.76,4,18.69
923,17652,United Kingdom,74.71,5,14.94
924,14245,United Kingdom,74.66,2,37.33
925,17589,United Kingdom,74.55000000000001,3,24.85
926,15260,United Kingdom,74.2,2,37.1
927,17653,United Kingdom,74.2,2,37.1
928,13742,United Kingdom,74.11,5,14.82
929,15641,United Kingdom,74.08,2,37.04
930,15427,United Kingdom,74.06,3,24.69
931,12652,France,74.0,1,74.0
932,14116,United Kingdom,73.94999999999999,2,36.97
933,15532,United Kingdom,73.8,4,18.45
934,17059,United Kingdom,73.77,5,14.75
935,15002,United Kingdom,73.75,2,36.88
936,17088,United Kingdom,73.7,2,36.85
937,14256,United Kingdom,73.65,2,36.83
938,16938,United Kingdom,73.61,2,36.8
939,18075,United Kingdom,73.6,4,18.4
940,15443,United Kingdom,73.51,5,14.7
941,16398,United Kingdom,73.44999999999999,2,36.72
942,17863,United Kingdom,73.2,2,36.6
943,14040,United Kingdom,73.2,4,18.3
944,16362,United Kingdom,72.95,3,24.32
945,13993,United Kingdom,72.75,3,24.25
946,17228,United Kingdom,72.75,3,24.25
947,12710,Germany,72.7,3,24.23
948,16807,United Kingdom,72.66,3,24.22
949,18035,United Kingdom,72.49,2,36.24
950,12388,Australia,72.24,2,36.12
951,16409,United Kingdom,72.08,4,18.02
952,15372,United Kingdom,72.0,1,72.0
953,16358,United Kingdom,71.94,3,23.98
954,14502,United Kingdom,71.81,8,8.98
955,16455,United Kingdom,71.7,3,23.9
956,17655,United Kingdom,71.7,3,23.9
957,15636,United Kingdom,71.6,1,71.6
958,13332,United Kingdom,71.6,1,71.6
959,14640,United Kingdom,71.58,4,17.9
960,15321,United Kingdom,71.5,2,35.75
961,15665,United Kingdom,71.5,1,71.5
962,14903,United Kingdom,71.42999999999999,5,14.29
963,15392,United Kingdom,71.14,3,23.71
964,16650,United Kingdom,70.8,1,70.8
965,16546,United Kingdom,70.8,2,35.4
966,12882,United Kingdom,70.8,1,70.8
967,17597,United Kingdom,70.8,1,70.8
968,17427,United Kingdom,70.8,1,70.8
969,16441,United Kingdom,70.55,2,35.28
970,15370,United Kingdom,70.5,3,23.5
971,15549,United Kingdom,70.47,3,23.49
972,13171,United Kingdom,70.4,2,35.2
973,15265,United Kingdom,70.19999999999999,2,35.1
974,15632,United Kingdom,70.19999999999999,3,23.4
975,14215,United Kingdom,69.92999999999999,3,23.31
976,16376,United Kingdom,69.89,2,34.94
977,14565,United Kingdom,69.8,2,34.9
978,17499,United Kingdom,69.6,1,69.6
979,17819,United Kingdom,69.6,1,69.6
980,13117,United Kingdom,69.48,5,13.9
981,18228,United Kingdom,69.3,2,34.65
982,14432,United Kingdom,69.16,4,17.29
983,16256,United Kingdom,69.12,1,69.12
984,15585,United Kingdom,69.06,1,69.06
985,17042,United Kingdom,68.99,4,17.25
986,13599,United Kingdom,68.75,6,11.46
987,14595,United Kingdom,68.7,4,17.18
988,15106,United Kingdom,68.64,4,17.16
989,17015,United Kingdom,68.53999999999999,2,34.27
990,17218,United Kingdom,68.45,7,9.78
991,15589,United Kingdom,68.4,3,22.8
992,12775,Netherlands,68.34,4,17.08
993,17512,United Kingdom,68.2,3,22.73
994,12417,Belgium,68.0,3,22.67
995,16592,United Kingdom,68.0,5,13.6
996,15057,United Kingdom,68.0,1,68.0
997,14625,United Kingdom,68.0,2,34.0
998,15228,United Kingdom,67.86,4,16.96
999,16270,United Kingdom,67.8,1,67.8
1000,16279,United Kingdom,67.8,2,33.9
1001,17006,United Kingdom,67.7,2,33.85
1002,17158,United Kingdom,67.65,3,22.55
1003,16535,United Kingdom,67.56,1,67.56
1004,15594,United Kingdom,67.5,2,33.75
1005,13285,United Kingdom,67.3,2,33.65
1006,14591,United Kingdom,67.21,3,22.4
1007,14825,United Kingdom,67.2,4,16.8
1008,14246,United Kingdom,67.05,2,33.52
1009,16229,United Kingdom,66.9,2,33.45
1010,13110,United Kingdom,66.8,2,33.4
1011,12446,RSA,66.75,1,66.75
1012,18178,United Kingdom,66.7,2,33.35
1013,16240,United Kingdom,66.48,2,33.24
1014,15643,United Kingdom,66.4,1,66.4
1015,12853,United Kingdom,66.4,2,33.2
1016,15701,United Kingdom,66.16,3,22.05
1017,15948,United Kingdom,65.85,2,32.92
1018,12620,France,65.8,3,21.93
1019,16496,United Kingdom,65.78,3,21.93
1020,15763,United Kingdom,65.7,1,65.7
1021,12865,Austria,65.64,2,32.82
1022,14135,United Kingdom,65.61,3,21.87
1023,13184,United Kingdom,65.59,5,13.12
1024,16899,United Kingdom,65.45,3,21.82
1025,14819,United Kingdom,65.4,2,32.7
1026,13901,United Kingdom,65.4,1,65.4
1027,13429,United Kingdom,65.25,2,32.62
1028,16550,United Kingdom,65.25,4,16.31
1029,13198,United Kingdom,65.2,3,21.73
1030,18180,United Kingdom,64.92,3,21.64
1031,13489,United Kingdom,64.80000000000001,2,32.4
1032,13196,United Kingdom,64.74,1,64.74
1033,13744,United Kingdom,64.6,1,64.6
1034,15660,United Kingdom,64.5,2,32.25
1035,17324,United Kingdom,64.45,3,21.48
1036,17576,United Kingdom,64.41,10,6.44
1037,13012,United Kingdom,64.38,4,16.1
1038,13900,United Kingdom,64.16,3,21.39
1039,16734,United Kingdom,64.13,1,64.13
1040,15366,United Kingdom,64.0,2,32.0
1041,15841,United Kingdom,63.92,2,31.96
1042,17596,United Kingdom,63.82,4,15.96
1043,13230,United Kingdom,63.54,8,7.94
1044,16943,United Kingdom,63.5,2,31.75
1045,16617,United Kingdom,63.5,1,63.5
1046,14387,United Kingdom,63.5,1,63.5
1047,13486,United Kingdom,63.44,2,31.72
1048,16891,United Kingdom,63.34,5,12.67
1049,15539,United Kingdom,63.300000000000004,1,63.3
1050,13447,United Kingdom,63.3,2,31.65
1051,13134,United Kingdom,63.239999999999995,3,21.08
1052,13883,United Kingdom,63.21,3,21.07
1053,14841,United Kingdom,63.2,2,31.6
1054,14418,United Kingdom,63.18,3,21.06
1055,15747,United Kingdom,63.120000000000005,3,21.04
1056,14071,United Kingdom,63.1,5,12.62
1057,13719,United Kingdom,63.08,2,31.54
1058,17204,United Kingdom,63.06,1,63.06
1059,14232,United Kingdom,63.0,2,31.5
1060,17870,United Kingdom,62.97,6,10.5
1061,13265,United Kingdom,62.9,3,20.97
1062,13396,United Kingdom,62.88,2,31.44
1063,16143,United Kingdom,62.84,3,20.95
1064,15076,United Kingdom,62.730000000000004,1,62.73
1065,13627,United Kingdom,62.7,3,20.9
1066,17086,United Kingdom,62.7,4,15.68
1067,14184,United Kingdom,62.65,1,62.65
1068,12989,United Kingdom,62.440000000000005,2,31.22
1069,12933,United Kingdom,62.41,3,20.8
1070,15933,United Kingdom,62.34,2,31.17
1071,16402,United Kingdom,62.2,2,31.1
1072,12513,France,62.2,1,62.2
1073,17585,United Kingdom,62.15,3,20.72
1074,13875,United Kingdom,62.099999999999994,4,15.52
1075,14834,United Kingdom,62.04,2,31.02
1076,17459,United Kingdom,61.989999999999995,2,30.99
1077,15813,United Kingdom,61.86,2,30.93
1078,13517,United Kingdom,61.8,2,30.9
1079,15796,United Kingdom,61.8,2,30.9
1080,13365,United Kingdom,61.8,1,61.8
1081,16726,United Kingdom,61.72,3,20.57
1082,15028,United Kingdom,61.42,2,30.71
1083,14341,United Kingdom,61.28,2,30.64
1084,15356,United Kingdom,61.26,5,12.25
1085,16833,United Kingdom,61.25,2,30.62
1086,15950,United Kingdom,61.2,2,30.6
1087,18093,United Kingdom,61.2,1,61.2
1088,13227,United Kingdom,61.2,1,61.2
1089,15909,United Kingdom,61.2,1,61.2
1090,14753,United Kingdom,61.2,1,61.2
1091,16173,United Kingdom,61.15,3,20.38
1092,16442,United Kingdom,61.050000000000004,3,20.35
1093,14099,United Kingdom,61.04,5,12.21
1094,15630,United Kingdom,60.9,2,30.45
1095,18122,United Kingdom,60.82,6,10.14
1096,17676,United Kingdom,60.6,2,30.3
1097,13035,United Kingdom,60.599999999999994,2,30.3
1098,15985,United Kingdom,60.599999999999994,1,60.6
1099,12635,Germany,60.58,1,60.58
1100,15111,United Kingdom,60.55,2,30.28
1101,15847,United Kingdom,60.48,1,60.48
1102,18116,United Kingdom,60.43,6,10.07
1103,17434,United Kingdom,60.36,5,12.07
1104,17337,United Kingdom,60.31,3,20.1
1105,15764,United Kingdom,60.269999999999996,3,20.09
1106,16612,United Kingdom,60.16,3,20.05
1107,13939,United Kingdom,60.0,2,30.0
1108,13971,United Kingdom,60.0,3,20.0
1109,14164,United Kingdom,60.0,1,60.0
1110,16076,United Kingdom,59.85,3,19.95
1111,14557,United Kingdom,59.76,1,59.76
1112,13784,United Kingdom,59.76,1,59.76
1113,18077,United Kingdom,59.73,4,14.93
1114,14321,United Kingdom,59.699999999999996,3,19.9
1115,12597,Spain,59.620000000000005,3,19.87
1116,17703,United Kingdom,59.599999999999994,3,19.87
1117,18272,United Kingdom,59.55,3,19.85
1118,16917,United Kingdom,59.5,1,59.5
1119,18242,United Kingdom,59.400000000000006,1,59.4
1120,15782,United Kingdom,59.4,1,59.4
1121,14789,United Kingdom,59.4,1,59.4
1122,17094,United Kingdom,59.4,1,59.4
1123,13410,United Kingdom,59.4,1,59.4
1124,13248,United Kingdom,59.38,1,59.38
1125,16395,United Kingdom,59.29,4,14.82
1126,16948,United Kingdom,59.25,2,29.62
1127,15891,United Kingdom,59.18,1,59.18
1128,13467,United Kingdom,59.18,2,29.59
1129,12886,United Kingdom,58.980000000000004,2,29.49
1130,12726,France,58.98,3,19.66
1131,15394,United Kingdom,58.8,2,29.4
1132,13363,United Kingdom,58.8,2,29.4
1133,12489,France,58.75,1,58.75
1134,13048,United Kingdom,58.75,3,19.58
1135,17738,United Kingdom,58.68,3,19.56
1136,16710,United Kingdom,58.660000000000004,7,8.38
1137,15406,United Kingdom,58.650000000000006,2,29.33
1138,16942,United Kingdom,58.6,7,8.37
1139,18221,United Kingdom,58.55,2,29.28
1140,12684,France,58.5,3,19.5
1141,16295,United Kingdom,58.45,3,19.48
1142,13846,United Kingdom,58.35,3,19.45
1143,17720,United Kingdom,58.3,2,29.15
1144,17442,United Kingdom,58.2,2,29.1
1145,15468,United Kingdom,58.1,1,58.1
1146,17961,United Kingdom,57.95,6,9.66
1147,14125,United Kingdom,57.9,3,19.3
1148,13851,United Kingdom,57.9,2,28.95
1149,14657,United Kingdom,57.839999999999996,4,14.46
1150,14442,Channel Islands,57.599999999999994,1,57.6
1151,15625,United Kingdom,57.540000000000006,2,28.77
1152,13471,United Kingdom,57.49,2,28.74
1153,14621,United Kingdom,57.3,3,19.1
1154,13168,United Kingdom,57.17,3,19.06
1155,17114,United Kingdom,57.15,4,14.29
1156,15716,United Kingdom,57.14,3,19.05
1157,15906,United Kingdom,57.1,3,19.03
1158,12822,United Kingdom,57.1,1,57.1
1159,14883,United Kingdom,57.06,2,28.53
1160,14193,United Kingdom,57.0,2,28.5
1161,14766,United Kingdom,57.0,2,28.5
1162,17469,United Kingdom,57.0,3,19.0
1163,13728,United Kingdom,57.0,3,19.0
1164,13743,United Kingdom,57.0,2,28.5
1165,13431,United Kingdom,56.96,2,28.48
1166,15296,United Kingdom,56.95,3,18.98
1167,12828,United Kingdom,56.8,2,28.4
1168,14740,United Kingdom,56.7,3,18.9
1169,17886,United Kingdom,56.7,3,18.9
1170,14805,United Kingdom,56.6,3,18.87
1171,12456,Switzerland,56.58,3,18.86
1172,12759,Netherlands,56.5,2,28.25
1173,14583,United Kingdom,56.48,4,14.12
1174,14428,United Kingdom,56.44,4,14.11
1175,13995,United Kingdom,56.339999999999996,2,28.17
1176,13317,United Kingdom,56.24,3,18.75
1177,13764,United Kingdom,56.2,3,18.73
1178,17921,United Kingdom,55.99,4,14.0
1179,13314,United Kingdom,55.92,2,27.96
1180,12728,France,55.8,1,55.8
1181,12364,Belgium,55.74,3,18.58
1182,14854,United Kingdom,55.7,2,27.85
1183,16732,United Kingdom,55.650000000000006,1,55.65
1184,14451,United Kingdom,55.6,2,27.8
1185,15237,United Kingdom,55.35,2,27.68
1186,12953,United Kingdom,55.2,1,55.2
1187,12393,Australia,55.2,2,27.6
1188,15089,United Kingdom,55.2,2,27.6
1189,15673,United Kingdom,55.2,3,18.4
1190,15121,United Kingdom,55.2,1,55.2
1191,13381,United Kingdom,55.2,3,18.4
1192,16678,United Kingdom,55.08,5,11.02
1193,12877,United Kingdom,54.99,4,13.75
1194,13158,United Kingdom,54.980000000000004,3,18.33
1195,14978,United Kingdom,54.91,3,18.3
1196,14868,United Kingdom,54.9,3,18.3
1197,13258,United Kingdom,54.7,2,27.35
1198,16914,United Kingdom,54.6,1,54.6
1199,12372,Denmark,54.599999999999994,2,27.3
1200,14472,United Kingdom,54.55,4,13.64
1201,14818,United Kingdom,54.55,2,27.28
1202,15066,United Kingdom,54.45,1,54.45
1203,15925,United Kingdom,54.25,1,54.25
1204,14161,United Kingdom,54.05,2,27.02
1205,14878,United Kingdom,54.0,4,13.5
1206,15329,United Kingdom,54.0,2,27.0
1207,18265,United Kingdom,54.0,2,27.0
1208,15814,United Kingdom,53.9,2,26.95
1209,15527,United Kingdom,53.85,3,17.95
1210,12656,France,53.8,2,26.9
1211,15829,United Kingdom,53.76,1,53.76
1212,17041,United Kingdom,53.56,3,17.85
1213,13650,United Kingdom,53.55,2,26.78
1214,15980,United Kingdom,53.55,1,53.55
1215,15068,United Kingdom,53.45,2,26.72
1216,13726,United Kingdom,53.4,2,26.7
1217,17341,United Kingdom,53.33,2,26.66
1218,18156,United Kingdom,53.3,2,26.65
1219,14997,United Kingdom,53.28,1,53.28
1220,17861,United Kingdom,53.22,3,17.74
1221,17091,United Kingdom,53.2,3,17.73
1222,17796,United Kingdom,53.2,3,17.73
1223,17507,United Kingdom,53.15,2,26.58
1224,17425,United Kingdom,53.14,1,53.14
1225,17790,United Kingdom,53.1,4,13.28
1226,12713,Germany,53.05,1,53.05
1227,12722,France,53.04,3,17.68
1228,12607,USA,53.04,1,53.04
1229,15353,United Kingdom,52.949999999999996,2,26.48
1230,15088,United Kingdom,52.8,1,52.8
1231,13558,United Kingdom,52.74,4,13.18
1232,16688,United Kingdom,52.5,2,26.25
1233,14261,United Kingdom,52.5,2,26.25
1234,12697,Sweden,52.5,2,26.25
1235,13657,United Kingdom,52.440000000000005,1,52.44
1236,13430,United Kingdom,52.44,1,52.44
1237,15658,United Kingdom,52.4,2,26.2
1238,16225,United Kingdom,52.4,3,17.47
1239,16470,United Kingdom,52.379999999999995,3,17.46
1240,15937,United Kingdom,52.35,1,52.35
1241,13115,United Kingdom,52.31999999999999,3,17.44
1242,14715,United Kingdom,52.3,2,26.15
1243,15622,United Kingdom,52.2,2,26.1
1244,13755,United Kingdom,52.01,4,13.0
1245,12600,Germany,51.96,4,12.99
1246,16889,United Kingdom,51.9,3,17.3
1247,13357,United Kingdom,51.85,1,51.85
1248,13477,United Kingdom,51.8,3,17.27
1249,14506,United Kingdom,51.7,3,17.23
1250,17764,United Kingdom,51.629999999999995,1,51.63
1251,16124,United Kingdom,51.599999999999994,1,51.6
1252,12778,Netherlands,51.599999999999994,3,17.2
1253,16980,United Kingdom,51.25,1,51.25
1254,13717,United Kingdom,51.24,4,12.81
1255,14745,United Kingdom,51.2,3,17.07
